Tabla;Campo;Var Type;Utilizado;Campo en Json;Mapeo api endpoint;Cobertura;Column 8;Observaciones;;;;;;;;;;;;;;;;;
admins;document;varchar(50);SI;documentNumber;https://id.janis.in/api/user;Parcial;Algunos registros tienen valores vacíos (60-80% cobertura). También disponible en /user/{id};Cambio el nombre del campo pero entran los mismos datos;;;;;;;;;;;;;;;;;
wms_order_shipping ;id;bigint unsigned;SI;id;https://oms.janis.in/api/order;Completa;wms_order_shipping  id;;;;;;;;;;;;;;;;;;
wms_order_shipping ;order_id;bigint unsigned;SI;(en shippings array);https://oms.janis.in/api/order;Completa;wms_order_shipping  order_id;Relación con orden padre;;;;;;;;;;;;;;;;;
wms_order_shipping ;city;varchar(255);SI;addresses[].city;https://oms.janis.in/api/order;Parcial;wms_order_shipping  city;Ubicado en addresses array anidado;;;;;;;;;;;;;;;;;
wms_order_shipping ;neighborhood;varchar(255);SI;addresses[].neighborhood;https://oms.janis.in/api/order;Parcial;wms_order_shipping  neighborhood;Ubicado en addresses array anidado;;;;;;;;;;;;;;;;;
wms_order_shipping ;complement;varchar(255);SI;addresses[].complement;https://oms.janis.in/api/order;Parcial;wms_order_shipping  complement;Ubicado en addresses array anidado;;;;;;;;;;;;;;;;;
wms_order_shipping ;lat;decimal(12,9);SI;addresses[].lat;https://oms.janis.in/api/order;Parcial;wms_order_shipping  lat;Ubicado en addresses array anidado;;;;;;;;;;;;;;;;;
wms_order_shipping ;lng;decimal(12,9);SI;addresses[].lng;https://oms.janis.in/api/order;Parcial;wms_order_shipping  lng;Ubicado en addresses array anidado;;;;;;;;;;;;;;;;;
wms_order_shipping ;carrier_id;varchar(50);SI;carrierId;https://oms.janis.in/api/order;Completa;wms_order_shipping  carrier_id;;;;;;;;;;;;;;;;;;
wms_order_shipping ;shipping_window_start;bigint unsigned;SI;deliveryWindow.initialDate;https://oms.janis.in/api/order;Completa;wms_order_shipping  shipping_window_start;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_order_shipping ;shipping_window_end;bigint unsigned;SI;deliveryWindow.finalDate;https://oms.janis.in/api/order;Completa;wms_order_shipping  shipping_window_end;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_order_shipping ;shipped_date_start;bigint;SI;dateModified;https://oms.janis.in/api/order;Parcial;wms_order_shipping  shipped_date_start;Aproximación: fecha de modificación del shipping;;;;;;;;;;;;;;;;;
