Tabla	Campo	Var Type	Utilizado	Campo en Json	Mapeo api endpoint	frecuencia
products	date_modified	bigint	SI	dateModified	https://catalog.janis.in/api/product	1 hora
products	user_modified	bigint unsigned	SI	userModified	https://catalog.janis.in/api/product	1 hora
skus	id	bigint unsigned	SI	id	GET https://catalog.janis.in/api/sku	1 hora
skus	ref_id	varchar(100)	SI	referenceId	GET https://catalog.janis.in/api/sku	1 hora
skus	vtex_id	int unsigned	SI	commerceId	GET https://catalog.janis.in/api/sku	1 hora
skus	stock_erp_id	varchar(50)	SI	attributes[?]	GET https://catalog.janis.in/api/sku/{id}/attribute	1 hora
skus	ean	varchar(65)	SI	eans[0]	GET https://catalog.janis.in/api/sku	1 hora
skus	product	bigint unsigned	SI	product	GET https://catalog.janis.in/api/sku	1 hora
skus	name	varchar(150)	SI	name	GET https://catalog.janis.in/api/sku	1 hora
skus	alt_name	varchar(150)	SI	attributes[?]	GET https://catalog.janis.in/api/sku/{id}/attribute	1 hora
skus	height	float(8,2) unsigned	SI	measures.height	GET https://catalog.janis.in/api/sku	1 hora
skus	length	float(8,2) unsigned	SI	measures.depth	GET https://catalog.janis.in/api/sku	1 hora
skus	width	float(8,2) unsigned	SI	measures.width	GET https://catalog.janis.in/api/sku	1 hora
skus	weight	float(8,2) unsigned	SI	measures.weight	GET https://catalog.janis.in/api/sku	1 hora
skus	shipment_packages	bigint	SI	packageMeasures	GET https://catalog.janis.in/api/sku	1 hora
skus	measurement_unit	bigint unsigned	SI	measurementUnit	GET https://catalog.janis.in/api/sku	1 hora
skus	measurement_unit_un	bigint unsigned	SI	sellingMeasurementUnit	GET https://catalog.janis.in/api/sku	1 hora
skus	unit_multiplier	float(7,5) unsigned	SI	unitMultiplier	GET https://catalog.janis.in/api/sku	1 hora
skus	unit_multiplier_un	float(12,5) unsigned	SI	sellingUnitMultiplier	GET https://catalog.janis.in/api/sku	1 hora
skus	eta	varchar(10)	SI	expirationDays	GET https://catalog.janis.in/api/sku	1 hora
skus	picking_unit	smallint unsigned	SI	measurementUnit (derivado)	GET https://catalog.janis.in/api/sku	1 hora
skus	stock_base_measurement_unit	bigint unsigned	SI	measurementUnit	GET https://catalog.janis.in/api/sku	1 hora
